Initialized NCPU=4 NCUDA=0
Start reading 7840000 bytes
Read 7840000 bytes from /workspace/mnist/train-images-idx3-ubyte
MNIST SINGLE: 7840000 7840000
iter=0 loss=239528
iter=1 loss=238529
iter=2 loss=237424
iter=3 loss=235898
iter=4 loss=233495
iter=5 loss=229413
iter=6 loss=222188
iter=7 loss=209571
iter=8 loss=191927
iter=9 loss=181130
iter=10 loss=179484
iter=11 loss=179043
iter=12 loss=178887
iter=13 loss=178787
iter=14 loss=178696
iter=15 loss=178605
iter=16 loss=178512
iter=17 loss=178417
iter=18 loss=178319
iter=19 loss=178217
iter=20 loss=178112
iter=21 loss=178003
iter=22 loss=177890
iter=23 loss=177772
iter=24 loss=177649
iter=25 loss=177520
iter=26 loss=177385
iter=27 loss=177244
iter=28 loss=177096
iter=29 loss=176940
iter=30 loss=176775
iter=31 loss=176602
iter=32 loss=176419
iter=33 loss=176226
iter=34 loss=176021
iter=35 loss=175803
iter=36 loss=175573
iter=37 loss=175328
iter=38 loss=175068
iter=39 loss=174791
iter=40 loss=174497
iter=41 loss=174182
iter=42 loss=173848
iter=43 loss=173491
iter=44 loss=173111
iter=45 loss=172708
iter=46 loss=172280
iter=47 loss=171825
iter=48 loss=171344
iter=49 loss=170834
iter=50 loss=170297
iter=51 loss=169734
iter=52 loss=169145
iter=53 loss=168532
iter=54 loss=167898
iter=55 loss=167245
iter=56 loss=166576
iter=57 loss=165897
iter=58 loss=165211
iter=59 loss=164522
iter=60 loss=163835
iter=61 loss=163153
iter=62 loss=162480
iter=63 loss=161818
iter=64 loss=161169
iter=65 loss=160533
iter=66 loss=159912
iter=67 loss=159303
iter=68 loss=158710
iter=69 loss=158129
iter=70 loss=157561
iter=71 loss=157006
iter=72 loss=156463
iter=73 loss=155932
iter=74 loss=155412
iter=75 loss=154904
iter=76 loss=154407
iter=77 loss=153920
iter=78 loss=153445
iter=79 loss=152979
iter=80 loss=152524
iter=81 loss=152078
iter=82 loss=151642
iter=83 loss=151217
iter=84 loss=150800
iter=85 loss=150394
iter=86 loss=149998
iter=87 loss=149612
iter=88 loss=149236
iter=89 loss=148870
iter=90 loss=148514
iter=91 loss=148169
iter=92 loss=147833
iter=93 loss=147506
iter=94 loss=147189
iter=95 loss=146880
iter=96 loss=146578
iter=97 loss=146284
iter=98 loss=145998
iter=99 loss=145717
